imageName,accessionNumber,associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,plantDescription,recordNumber,secondPoliticalUnit,secondaryCollectors,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
V0057262F.jpg,,,M. E. Jones,Mexico,Nayarit,,,Lepidium virginicum var. tepicense C. L. Hitchc.,Tepic,,16 Feb 1927,,,701318,,22840,,,Isotype,,,,,,,Tepic
V0469088F.jpg,,,Djaja D. Soejarto,Colombia,Vaupés,Tropical rain forest cut,,Piper cf. arboreum Aubl.,Vicinity of Mitu,,30 Mar 1970,,,1821019,"Treelet, 3 m tall, inflorescences white to green, plant odorous",2466,,T. E. Lockwood,,,,,200 m,,,Vicinity of Mitu
V0558575F.jpg,,,Felix Woytkowski,Peru,Loreto,Upon rocks and old tree trunks,,Peperomia serpens (Sw.) Loudon,Aguaitia,,26 Aug 1946,,,1307659,"Perennial herb 0.35 m. Flowers green. Leaves soft, fleshy",34438,,"Diego Tuesta Diaz, Jorge Woytkowski",,,,,170-180 m,,,Aguaitia
V0571031F.jpg,,,Debeaux,Algeria,,a l'embouchure de l'oued,,Frankenia corymbosa Desf.,Arzew: a l'embouchure de l'oued,,10 May 1880,,,835959,,,,,,,,,,,,Arzew: a l'embouchure de l'oued
V0613170F.jpg,,,M. A. Lewis,,,,,Stachytarpheta pohliana Cham.,,,22 Sep 1990,,,2304360,,37731,,,,,,,,,,
V0613171F.jpg,,,O. L. Lovelius,,,,,Turgenia latifolia (L.) Hoffm.,,,13 Jun 1968,,,1779118,,,,,,,,,,,,
V0613172F.jpg,,,G. R. Proctor,,,,,Ilex guianensis (Aubl.) Kuntze,,,14 Apr 1976,,,1782286,,35707,,,,,,,,,,
V0613173F.jpg,,,E. L. Ekman,,,,,Ilex berteroi Loes.,,,22 Jan 1929,,,1480853,,11287,,,,,,,,,,
V0613174F.jpg,,,de Heldreich,Greece,,in arenosis maritimis,,Frankenia hispida DC.,,,29 May 1893,,,842306,,455,,,,,,,,,,
V0613175F.jpg,,,Percy H. Gentle,Belize,Toledo,On tree,,Passovia pyrifolia (Kunth) Tiegh.,"Overhanging river, Rio Grande",,15 Aug 1944,,,1968415,,4755,,,,,,,,,,"Overhanging river, Rio Grande"
V0613176F.jpg,,,D. D. Soejarto,Laos,Bolikhamsay,"Tropical rain forest; a mosaic of cleared lands, previously logged forest with an open canopy, and little disturbed closed canopy forest with Liquidambar, Camellia, and Lagerstroemia association ",,Lagerstroemia ovalifolia Teijsm. & Binn.,"Ban Namphao, ca. 5 km east of town proper",,22 Apr 2000,,,2224146,"Tree 7 m tall, dbh 10 cm, bark gray, slash dull purplish white, wood pale brown, flowers deep pink to violet, stames deep yellow, filaments pink-red, fruits dull reddish brown",11377,Khamheut,"S. Bouamanivong, M. Sensanang, S. Vorasing",,,"18 10 N, 05 00 E",,500 m,,,"Ban Namphao, ca. 5 km east of town proper"
V0362457F.jpg,,,Tonduz,Costa Rica,,Zone littorale,,Lonchocarpus orotinus,La baie de Salinas,,Jun 1890,,,576895,,2731,,,,,,,,,,
V0574012F.jpg,,,Antonio Molina R. ,Guatemala,Chiquimula,Dry slopes,,Commelina robusta,,,8 Dec 1969,,,1695826,,25236,,Albertina R. Molina,,,,,900 m,,,
